kota,lat,lon
Bandung Barat Kab.,-6.8385,107.4841
Bandung Kab.,-7.0000,107.6000
Bandung Kota,-6.9175,107.6191
Banjarnegara Kab.,-7.3986,109.6947
Banyumas Kab.,-7.5138,109.2894
Banyuwangi  Kab.,-8.2192,114.3691
Batang Kab.,-6.9075,109.7311
Batu Kota,-7.8706,112.5239
Bekasi Kab.,-6.2650,107.1500
Bekasi Kota,-6.2383,106.9756
Bogor Kab.,-6.5944,106.7892
Bogor Kota,-6.5971,106.8060
Boyolali Kab.,-7.5333,110.5942
Cilacap Kab.,-7.7264,109.0144
Demak Kab.,-6.8933,110.6392
Depok Kota,-6.4025,106.7942
Gresik Kab.,-7.1567,112.6522
Jawa Barat,-6.9147,107.6098
Jawa Tengah,-7.1500,110.1403
Jawa Timur,-7.5361,112.2384
Jember Kab.,-8.1725,113.6997
Jombang  Kab.,-7.5461,112.2331
Karanganyar Kab.,-7.5981,111.0139
Karawang Kab.,-6.3014,107.3006
Kebumen Kab.,-7.6711,109.6531
Kendal Kab.,-6.9214,110.2028
Klaten Kab.,-7.7056,110.6069
Kudus Kab.,-6.8048,110.8405
Madiun Kab.,-7.6167,111.5333
Magelang Kab.,-7.4797,110.2178
Magelang Kota,-7.4706,110.2178
Malang Kab.,-8.1667,112.6833
Malang Kota,-7.9797,112.6304
Mojokerto Kab.,-7.5333,112.4333
Mojokerto Kota,-7.4664,112.4342
Nganjuk Kab.,-7.6053,111.9028
Pamekasan Kab.,-7.1553,113.4761
Pasuruan Kab.,-7.6453,112.9075
Pasuruan Kota,-7.6453,112.9075
Pati Kab.,-6.7554,111.0389
Pekalongan Kab.,-7.0289,109.6247
Pekalongan Kota,-6.8886,109.6753
Pemalang Kab.,-6.8898,109.3775
Probolinggo Kota,-7.7543,113.2159
Purbalingga Kab.,-7.3889,109.3611
Purworejo Kab.,-7.7181,109.9911
Rembang Kab.,-6.7097,111.3428
Salatiga Kota,-7.3305,110.5084
Semarang Kab.,-7.1497,110.4058
Semarang Kota,-6.9666,110.4167
Sidoarjo  Kab.,-7.4478,112.7183
Situbondo Kab.,-7.7067,114.0083
Sragen Kab.,-7.4262,111.0225
Sukabumi Kota,-6.9250,106.9278
Sukoharjo Kab.,-7.6819,110.8339
Surabaya Kota,-7.2575,112.7521
Surakarta Kota,-7.5755,110.8243
Tegal Kab.,-6.8694,109.1272
Tegal Kota,-6.8694,109.1402
Temanggung Kab.,-7.3186,110.1728
Wonogiri Kab.,-7.8153,110.9192
